f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
McGowan Peak from Silver Creek,"Stevens, A.W.",1925,,Photo caption: 'Taken from a position over Silver Creek looking N.E. Peak in the center is McGowan Peak. Valley in distance is Stanley Basin. Drainage this side of McGowan is Stanley Lake Creek. Mountain in low right is Observation Peak.',mountains; peaks; drainage; rivers; creeks; lakes; ridges; aerial,"Silver Creek, Idaho",,,44.15824,-115.14259,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army55,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,878,archivalidaho878,image,archivalidaho878.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho878.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho878_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho878_th.jpg,
CCC-Idaho Office and warehouse,"Balderson, V.W.",1937,,"CCC-Idaho office and warehouse. Note: This image is part of a report by V.W. Balderson to Director of Indian Affairs, D.E. Murphy on CCC-Indian Division Projects completed by the Fort Hall Agency, Fort Hall, Idaho.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; buildings; camp,"Fort Hall Reservation, Idaho",,,42.96457,-112.36563,NARA DC; RG 75; E 1000 CCC - Indian Division; General Records; Box 102 Fort Hall,,,NARA16DC44b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,879,archivalidaho879,image,archivalidaho879.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho879.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho879_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho879_th.jpg,
Beaver transplant release,,1938,,Beaver transplant release,national forests; wildlife; beavers; people,"Salmon-Challis National Forest, Idaho",,,45.433287,-115.668582,,,,Sal13Chal120,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,880,archivalidaho880,image,archivalidaho880.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho880.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho880_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho880_th.jpg,
Hazardous forest conditions boarding Cold Springs Reserve,"Wing, H.R.",1941,yes,Photo text: 'Nez Perce Reservation. Forest conditions along road bordering the Cold Springs Reserve. A hazard reduction project has been set up.' Note: This image is part of a narrative pictoral report to accompany quarterly enrollee program report.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; forest maintenance; national forest; people,"Nez Perce Reservation, Idaho",Cold Springs Recreation Site,,46.61407,-116.22598,NARA DC; RG 75; E 1004 CCC - Indian Division; Box 4; North Idaho,,,NARA16DC17b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,881,archivalidaho881,image,archivalidaho881.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho881.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho881_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho881_th.jpg,
Timber cruisers in winter,"Morris, W.W.",1910,yes,Photo text: 'Cruising in winter. Girard and Dahlgren.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; log; foresters; loggers; timber cruisers; logging; industry; people; snow; winter,"Coeur d'Alene National Forest, Idaho",,,47.762646,-116.38998,,,United States Forest Service,pic_2014-09-30_004804b,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,882,archivalidaho882,image,archivalidaho882.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho882.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho882_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho882_th.jpg,
CCC workers from work on loading platform,,1940,yes,CCC workers from Mountain Home Camp G-99 work together on structure. Image part of CCC-Idaho Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; roads; construction; people; crew; trucks,"Mountain Home, Idaho",,,43.13281,-115.69656,NARA College Park; Still Photo Branch; RG 49; GLO/BLM 1953- WLM Series Box 6 GLO Camp G-99; Mtn. Home Camp; 1940,,,NARA16DC120,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,883,archivalidaho883,image,archivalidaho883.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho883.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho883_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho883_th.jpg,
Natural amphitheater near Veil Falls,"Prater, L.J.",1964,,Natural amphitheater near Veil Falls,watershed management; tribes; pictographs; campgrounds; geology; geography; rivers; national forests,"payette national forest, idaho; salmon-challis national forest, idaho",,,44.628471,-115.195328,,510231,United States Forest Service,Payette31,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,884,archivalidaho884,image,archivalidaho884.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho884.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho884_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho884_th.jpg,
"Power plant Bliss, Idaho","Stevens, A.W. Capt.",1923,,This image is part of a series of aerials taken by the Army Air Corps.,aerials; Idaho; landscapes; industry; power; electricity; power plant; buildings,"Bliss, Idaho",,,42.910255,-114.95217,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army17,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,885,archivalidaho885,image,archivalidaho885.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho885.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho885_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho885_th.jpg,
Rapids on Salmon River in canyon,,1964,yes,Two photographs show rapids in the Salmon River canyon in the Salmon-Challis National Forest.,national forest; rivers; rapids,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Middle Fork of Salmon River; Middle Fork; canyon; rapids; Salmon River,45.114168,-114.726078,,,United States Forest Service,IntermtnPics140,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,886,archivalidaho886,image,archivalidaho886.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho886.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho886_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho886_th.jpg,
Campers at Warm Lake Campground,,1939,,This is image is part of a photo album dated in the 1930's.,camps; camping; recreation; campers; campsites; food; families; tents; people;  national forests,"Payette National Forest, Idaho",,,44.654382,-115.667998,,389993,United States Forest Service,OGDEN33,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,887,archivalidaho887,image,archivalidaho887.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho887.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho887_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho887_th.jpg,
CCC workers loading up to work on fire line,"Swan, K.D.",1934,,Photo text: 'CCC boys leaving trucks in the early morning for work on fire line. Pack River Fire.',national forests; CCC; Civilian Conservation Corps; fire work; fires; forest fires; trucks; people,"Kaniksu National Forest, Idaho",,,48.337776,-116.372587,NARA College Park; RG 95; GP Series; Box 63,291708,United States Forest Service,NARA0815DC91,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,888,archivalidaho888,image,archivalidaho888.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho888.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho888_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho888_th.jpg,
Loading for float trip on Middle Fork of Salmon River,"Prater, L.J.",1964,,"Photo text: 'July 26, 1964.'",national forest; rivers; boats; patrol; forest service; loading; people,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Middle Fork of Salmon River; Middle Fork; rafting; boat; rapids; Salmon River,44.975941,-114.736507,,510189,United States Forest Service,IntermtnPics129,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,889,archivalidaho889,image,archivalidaho889.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho889.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho889_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho889_th.jpg,
"Community Hall, log building, Sandpoint",,1937,yes,Note: This image is part of a Work Progress Administration publicity series.,Works Progress Administration; WPA; towns; cities; construction; buildings,"Sandpoint, Idaho",,,48.271538,-116.548158,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC171b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,890,archivalidaho890,image,archivalidaho890.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho890.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho890_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho890_th.jpg,
